Red,Green,Blue
0.409,0.251,0.340
0.405,0.253,0.342
0.401,0.255,0.344
0.394,0.257,0.349
0.386,0.262,0.351
0.382,0.265,0.353
0.378,0.266,0.356
0.375,0.268,0.357
0.378,0.266,0.356
0.392,0.258,0.350
0.396,0.256,0.348
0.397,0.257,0.346
0.396,0.257,0.347
0.391,0.260,0.349
0.387,0.261,0.351
0.384,0.262,0.354
0.379,0.265,0.356
0.377,0.266,0.356
0.376,0.268,0.356
0.366,0.352,0.282
0.361,0.371,0.268
0.360,0.384,0.256
0.354,0.397,0.249
0.351,0.408,0.241
0.359,0.411,0.230
0.377,0.403,0.221
0.402,0.382,0.216
0.429,0.349,0.222
0.434,0.289,0.277
0.432,0.318,0.250
0.420,0.353,0.227
0.398,0.380,0.222
0.373,0.392,0.235
0.358,0.383,0.259
0.355,0.367,0.277
0.354,0.357,0.289
0.353,0.348,0.299
0.358,0.338,0.304
0.366,0.329,0.305
0.375,0.319,0.306
0.386,0.312,0.302
0.399,0.306,0.295
0.410,0.303,0.288
0.419,0.300,0.280
0.429,0.304,0.267
0.431,0.334,0.235
0.447,0.341,0.212
0.489,0.319,0.192
0.507,0.294,0.199
0.501,0.285,0.214
0.500,0.281,0.219
0.494,0.274,0.232
0.502,0.278,0.220
0.509,0.295,0.196
0.509,0.313,0.178
